id,tema,escopo,pergunta,indicador,ano,universo,folga_10_11,top10
c0129,paises,Europa,Quais os países que mais emitem CO₂ por habitante na Europa?,EN.GHG.CO2.PC.CE.AR5,2024,36,0.0089,"1. Rússia (14,0) | 2. Estônia (7,76) | 3. Polônia (7,55) | 4. Bélgica (7,31) | 5. Noruega (7,18) | 6. Tchéquia (7,13) | 7. Alemanha (6,94) | 8. Países Baixos (6,60) | 9. Bósnia e Herzegovina (6,45) | 10. Áustria (6,32)"
c0130,paises,mundo,Quais os países com menos floresta?,AG.LND.FRST.ZS,2023,157,0.126,"1. Catar (0,0%) | 2. Omã (0,0%) | 3. Egito (0,0%) | 4. Líbia (0,1%) | 5. Djibuti (0,3%) | 6. Mauritânia (0,3%) | 7. Kuwait (0,4%) | 8. Arábia Saudita (0,5%) | 9. Níger (0,8%) | 10. Argélia (0,8%)"
c0131,paises,Europa,Quais os países mais cobertos por floresta na Europa?,AG.LND.FRST.ZS,2023,37,0.0086,"1. Finlândia (73,7%) | 2. Suécia (68,7%) | 3. Eslovênia (61,2%) | 4. Estônia (57,1%) | 5. Letônia (55,0%) | 6. Rússia (49,8%) | 7. Áustria (47,2%) | 8. Belarus (43,4%) | 9. Bósnia e Herzegovina (42,7%) | 10. Eslováquia (40,1%)"
c0132,paises,África,Quais os países mais cobertos por floresta na África?,AG.LND.FRST.ZS,2023,50,0.0235,"1. Gabão (91,2%) | 2. Guiné Equatorial (86,4%) | 3. Libéria (78,1%) | 4. Guiné-Bissau (69,5%) | 5. República do Congo (64,1%) | 6. Zâmbia (59,5%) | 7. República Democrática do Congo (54,2%) | 8. Angola (52,1%) | 9. Tanzânia (50,1%) | 10. Moçambique (45,8%)"
c0133,paises,Ásia,Quais os países mais cobertos por floresta na Ásia?,AG.LND.FRST.ZS,2023,43,0.0191,"1. Laos (71,5%) | 2. Japão (68,4%) | 3. Coreia do Sul (64,1%) | 4. Timor-Leste (61,7%) | 5. Malásia (57,7%) | 6. Coreia do Norte (49,6%) | 7. Indonésia (47,7%) | 8. Vietnã (47,4%) | 9. Camboja (43,1%) | 10. Mianmar (42,4%)"
c0134,paises,Américas,Quais os países mais cobertos por floresta nas Américas?,AG.LND.FRST.ZS,2023,24,0.0293,"1. Costa Rica (60,4%) | 2. Brasil (59,0%) | 3. Panamá (56,3%) | 4. Honduras (56,3%) | 5. Jamaica (56,2%) | 6. Peru (56,1%) | 7. Colômbia (52,8%) | 8. Venezuela (52,2%) | 9. Equador (49,5%) | 10. Bolívia (46,3%)"
c0135,paises,União Europeia,Quais os países mais cobertos por floresta na União Europeia?,AG.LND.FRST.ZS,2023,25,0.0256,"1. Finlândia (73,7%) | 2. Suécia (68,7%) | 3. Eslovênia (61,2%) | 4. Estônia (57,1%) | 5. Letônia (55,0%) | 6. Áustria (47,2%) | 7. Eslováquia (40,1%) | 8. Espanha (37,2%) | 9. Bulgária (36,2%) | 10. Portugal (36,2%)"
c0136,paises,mundo,Quais os países com a maior proporção de terra agricultável?,AG.LND.ARBL.ZS,2023,157,0.0242,"1. Bangladesh (60,6%) | 2. Dinamarca (59,1%) | 3. Ucrânia (56,8%) | 4. Moldávia (56,8%) | 5. Índia (51,8%) | 6. Burundi (51,4%) | 7. Togo (48,7%) | 8. Ruanda (47,0%) | 9. Hungria (45,4%) | 10. Gâmbia (43,5%)"
c0137,paises,mundo,Quais os países que mais protegem seu território e mar?,ER.PTD.TOTL.ZS,2025,157,0.03,"1. Reino Unido (42,1%) | 2. Zâmbia (41,3%) | 3. Eslovênia (40,1%) | 4. Alemanha (40,0%) | 5. Venezuela (39,0%) | 6. Armênia (38,9%) | 7. Polônia (38,1%) | 8. Chile (37,9%) | 9. Eslováquia (37,5%) | 10. França (36,7%)"
c0138,paises,mundo,Quais os países que menos protegem seu território e mar?,ER.PTD.TOTL.ZS,2025,157,0.0769,"1. Eritreia (0,0%) | 2. Maurício (0,0%) | 3. Somália (0,0%) | 4. Líbia (0,2%) | 5. Papua-Nova Guiné (0,7%) | 6. Síria (0,7%) | 7. Iêmen (0,7%) | 8. Mauritânia (1,0%) | 9. Djibuti (1,2%) | 10. Libéria (1,2%)"
